metric,group,count,mean,std,median,min,max
comet_jap_en,ai,341,-0.0832740184673466,0.37145837458576014,-0.0786399543285369,-1.1795152425765991,0.6972338557243347
comet_jap_en,fansub,331,-0.16566579313976887,0.3537538508636722,-0.173666164278984,-1.1188856363296509,0.6030935645103455
comet_jap_en,official,326,-0.1926973399940444,0.3596283673854259,-0.21871290355920786,-1.2715686559677124,0.5991572737693787
comet_jap_sp,ai,341,-0.058584488862770394,0.40248637105563034,-0.0292283408343791,-1.25304114818573,0.8171773552894592
comet_jap_sp,fansub,331,-0.16953574710742225,0.39485012402020586,-0.1749066710472107,-1.5248199701309204,0.689319908618927
comet_jap_sp,official,322,-0.20008759745483443,0.40379085304267115,-0.20680579543113706,-1.1826105117797852,0.758128821849823
sbert_jap_en,ai,341,0.7100207449054439,0.16074206995644688,0.7281826138496399,0.2238071262836456,0.9813265800476074
sbert_jap_en,fansub,331,0.6288971298590887,0.15983209051548034,0.6412028074264526,0.121587187051773,0.9813265800476074
sbert_jap_en,official,326,0.6465592483184271,0.16843543931706165,0.6615855991840363,0.0232123918831348,0.981326460838318
sbert_jap_sp,ai,341,0.769904452509894,0.14488491962953157,0.8024834394454956,0.3102092742919922,0.9837301969528198
sbert_jap_sp,fansub,331,0.6767066635664136,0.16193291188369147,0.7044910192489624,0.1377608478069305,0.986924171447754
sbert_jap_sp,official,322,0.6475441769598433,0.18541356430312148,0.6860539317131042,0.0671766996383667,0.9900310039520264
