metric,group,count,mean,std,median,min,max
comet_jap_en,ai,341,-0.0832740184673466,0.37145837458576014,-0.0786399543285369,-1.1795152425765991,0.6972338557243347
comet_jap_en,fansub,341,-0.175445707531269,0.3553006863289109,-0.1818494498729705,-1.1188856363296509,0.6030935645103455
comet_jap_en,official,341,-0.20203362198825106,0.35734170679072447,-0.2346870303153991,-1.2715686559677124,0.5991572737693787
comet_jap_sp,ai,341,-0.058584488862770394,0.40248637105563034,-0.0292283408343791,-1.25304114818573,0.8171773552894592
comet_jap_sp,fansub,341,-0.1776674202372951,0.392979901277563,-0.1932280957698822,-1.5248199701309204,0.689319908618927
comet_jap_sp,official,341,-0.21232036384275932,0.39842676830597556,-0.2245811820030212,-1.1826105117797852,0.758128821849823
sbert_jap_en,ai,341,0.7100207449054439,0.16074206995644688,0.7281826138496399,0.2238071262836456,0.9813265800476074
sbert_jap_en,fansub,341,0.6223845686381164,0.16561631410914623,0.6350254416465759,0.1093552261590957,0.9813265800476074
sbert_jap_en,official,341,0.6396654921084031,0.17430447483497288,0.6564720869064331,0.0232123918831348,0.981326460838318
sbert_jap_sp,ai,341,0.769904452509894,0.14488491962953157,0.8024834394454956,0.3102092742919922,0.9837301969528198
sbert_jap_sp,fansub,341,0.6690377869651465,0.1697511115132755,0.6905241012573242,0.1134988814592361,0.986924171447754
sbert_jap_sp,official,341,0.6423860665552777,0.186492306671317,0.6760227084159851,0.0671766996383667,0.9900310039520264
