time_stamp,time_stamp.1,sbert_jap_en__ai,sbert_jap_en__fansub,sbert_jap_en__official,sbert_jap_sp__ai,sbert_jap_sp__fansub,sbert_jap_sp__official,comet_jap_en__ai,comet_jap_en__fansub,comet_jap_en__official,comet_jap_sp__ai,comet_jap_sp__fansub,comet_jap_sp__official,comet_jap_en_norm__ai,comet_jap_en_norm__fansub,comet_jap_en_norm__official,sbert_jap_en_norm__ai,sbert_jap_en_norm__fansub,sbert_jap_en_norm__official,qe_mix_en__ai,qe_mix_en__fansub,qe_mix_en__official,comet_jap_sp_norm__ai,comet_jap_sp_norm__fansub,comet_jap_sp_norm__official,sbert_jap_sp_norm__ai,sbert_jap_sp_norm__fansub,sbert_jap_sp_norm__official,qe_mix_sp__ai,qe_mix_sp__fansub,qe_mix_sp__official
0,0:00:48.77,0.891360342502594,0.7738968133926392,0.7421566247940063,0.9077980518341064,0.8782625198364258,0.7755375504493713,0.066439040005207,-0.0788399875164032,-0.0696613192558288,-0.1396825611591339,0.1886913478374481,-0.0319296717643737,0.6638893866309064,0.6039828185638375,0.6424818818905633,0.8812356010800004,0.7621139285630061,0.7503741836930609,0.7508278724105439,0.667235262563505,0.6856388026115623,0.537797344654601,0.773894985191847,0.5929085327206671,0.8872609013260537,0.8755913609820519,0.7675760739285858,0.6775827673231821,0.814573535507929,0.6627755492038345
1,0:00:50.51,0.9257076382637024,0.9257076382637024,0.5539675951004028,0.5300703048706055,0.5917077660560608,0.4866989254951477,0.0626330450177192,0.0626330450177192,-0.0233064256608486,-0.0862684845924377,0.0994733124971389,0.0686575323343277,0.6618614152092521,0.686140040653488,0.6672609648020921,0.9265773941986862,0.9362145919255628,0.5539581384885198,0.7677478068050259,0.786169861162318,0.6219398342766632,0.5635985206480638,0.7336003164607394,0.6447378580371785,0.3264353686056482,0.5475097756822581,0.4545921291197602,0.4687332598310976,0.6591641001493469,0.5686795664702112
2,0:00:52.75,0.2238071262836456,0.2207968831062317,0.499401718378067,0.6099978685379028,0.6189687848091125,0.5307581424713135,-0.5759018063545227,-0.7441354393959045,-0.7604426741600037,-0.2583679258823395,-0.8497679233551025,-0.8647322058677673,0.3216270127546489,0.2176277287193106,0.273223597825333,0.0,0.1278043208625456,0.4970068181784602,0.1929762076527893,0.1816983655766046,0.3627368859665839,0.4804674762022642,0.3048825017422623,0.163792385679683,0.4451066042591083,0.5787213962587704,0.5023344542210995,0.4663231274250019,0.4144180595488655,0.2992092130962496
3,0:00:54.90,0.5819593667984009,0.7081558704376221,0.8060204982757568,0.8845288753509521,0.5741326808929443,0.7792813181877136,-0.9239699244499208,-0.5448401570320129,-0.2533109486103058,0.1433040350675583,-1.093388915061951,-0.9665901064872742,0.1361637636944206,0.3333638975233591,0.5443116772039344,0.4727960217701225,0.6867204789307453,0.8170299790980943,0.2708166669247014,0.4747065300863136,0.6533989979615984,0.6744914043921852,0.1948528746682379,0.1113083116409508,0.8527123451184762,0.5273877510917548,0.7716328000516246,0.7457797806827016,0.3278668252376447,0.3754381070052204
4,0:01:00.08,0.7549595832824707,0.6835132837295532,0.6835132837295532,0.8109492063522339,0.8109492063522339,0.9015069007873536,0.1404776871204376,0.0601983666419982,0.0601984784007072,0.2020467072725296,0.202046126127243,0.2087952345609665,0.70333984858402,0.6847261569722802,0.7118986455470787,0.701173244823313,0.6584597096707933,0.6891671454920851,0.7024732070797373,0.6742195780516854,0.7028060455250813,0.7028665092579268,0.7799265724725136,0.7169462728439545,0.7434660496177523,0.7985231626418403,0.9040757688708224,0.719106325401857,0.7873652085402443,0.7917980712547017
5,0:01:04.97,0.5262379050254822,0.5555451512336731,0.5555451512336731,0.877743124961853,0.8780125379562378,0.7690892219543457,-0.3859201371669769,-0.4966438114643097,-0.4966438114643097,-0.3938426077365875,-0.3832587301731109,-0.2855707705020904,0.422856099239814,0.3613528208947464,0.4142377040773524,0.3992382369141973,0.5117024756216225,0.5556046602719075,0.4134089543095673,0.4214926827854969,0.4707844865551744,0.4150276832889628,0.5155779438418672,0.4622154973797612,0.8426373053379277,0.8753051523239637,0.760588700650112,0.5860715321085488,0.6594688272347058,0.5815647786879016
6,0:01:09.72,0.981326699256897,0.981326699256897,0.981326699256897,0.4819415807723999,0.4819415807723999,0.9058948755264282,0.2976534068584442,0.2976536452770233,0.2976534068584442,0.2692902684211731,0.2692902088165283,0.3769938349723816,0.7870887418049759,0.8226228692553947,0.8388305593902067,1.0,1.0,1.0,0.8722532450829855,0.8935737215532369,0.903298335634124,0.7353478899564575,0.8102968672874203,0.8036135587737926,0.2549769768181428,0.421836536606362,0.9088305541554248,0.5431995247011316,0.654912735014997,0.8457003569264454
7,0:01:11.61,0.5265846252441406,0.4731929302215576,0.4946235418319702,0.6507265567779541,0.5178148746490479,0.7143882513046265,-0.5488446950912476,-0.5376902222633362,-0.5574002265930176,-0.5302965044975281,-0.6675212979316711,-0.7608789801597595,0.3360440176573954,0.3375160583146746,0.3817602646718062,0.3996959415478843,0.4172587736012531,0.4920197552130926,0.361504787213591,0.369413144429306,0.4258640608883207,0.349114889665606,0.3871928481961877,0.2173045860496991,0.5055779052499705,0.4629085026781477,0.7013150298190926,0.4117000958993518,0.4174791099889717,0.4109087635574565
8,0:01:15.23,0.7433658838272095,0.3851848542690277,0.4886087775230407,0.5099204182624817,0.6566787362098694,0.4114025831222534,-0.4496603012084961,-0.4739017784595489,-0.5482217073440552,-0.1792441606521606,-0.3863078951835632,-0.3613275587558746,0.3888930405619374,0.3745597354768003,0.3866666568957273,0.6858684264807899,0.3163287877612359,0.4857420448687606,0.5076831949294784,0.3512673563905746,0.4262968120849406,0.5186874796768192,0.5142008109165118,0.4231804803661992,0.2965181306423256,0.6218961838828527,0.3730014268053475,0.4298197400630217,0.5572789601030482,0.4031088589418585
9,0:01:16.68,0.9201773405075072,0.5556485652923584,0.6556112170219421,0.9837301969528198,0.7900916337966919,0.6868909597396851,0.517665684223175,-0.3070429861545563,-0.4169121980667114,0.5430669784545898,-0.3760992288589477,-0.2599502801895141,0.9043192196105287,0.47145915589253,0.4568583662303337,0.9192768597260406,0.5118210735953403,0.6600452907024351,0.9103022756567336,0.4876039229736542,0.5381331360191743,0.8675931992929045,0.5188114798935605,0.475416905442322,1.0,0.7746429604143366,0.6715191159695589,0.9205559195757428,0.621144072101871,0.5538577896532169
