metric,group1,group2,n_pairs_x,mean_g1,mean_g2,mean_diff,test,p_raw,p_fdr,effect_size,es_magnitude,bootstrap_ci_lower,bootstrap_ci_upper,n_pairs_y
sbert_jap_en,ai,fansub,335,0.7098509482483366,0.6243714538527958,0.08547949439554081,wilcoxon,1.6381823904802555e-16,4.914547171440767e-16,0.4783934857744485,medium (0.3-0.5),,,
sbert_jap_en,ai,official,335,0.7098509482483366,0.6408483283066038,0.06900261994173285,wilcoxon,2.9602034806876835e-11,4.440305221031525e-11,0.3911720635306297,medium (0.3-0.5),,,
sbert_jap_en,fansub,official,335,0.6243714538527958,0.6408483283066038,-0.016476874453807966,wilcoxon,0.0004382744535878,0.0004382744535878,0.5526179305511447,large (>=0.5),,,
sbert_jap_sp,ai,fansub,335,0.7694207650512012,0.6702950980681092,0.099125666983092,wilcoxon,1.3727927439742905e-22,2.0591891159614357e-22,0.5615187042193875,large (>=0.5),,,
sbert_jap_sp,ai,official,335,0.7694207650512012,0.6467579031835741,0.1226628618676271,wilcoxon,2.286409890412343e-29,6.85922967123703e-29,0.6360203357193162,large (>=0.5),,,
sbert_jap_sp,fansub,official,335,0.6702950980681092,0.6467579031835741,0.023537194884535095,wilcoxon,0.0030871291263001,0.0030871291263001,0.2267079410793611,small (0.1-0.3),,,
comet_jap_en,ai,fansub,335,-0.0735619363833719,-0.1655171175167631,0.0919551811333912,wilcoxon,1.908265632067452e-05,2.862398448101178e-05,0.2377030144342493,small (0.1-0.3),,,
comet_jap_en,ai,official,335,-0.0735619363833719,-0.1959299062837415,0.12236796990036959,wilcoxon,1.7628883761608974e-08,5.2886651284826925e-08,0.3228609355162263,medium (0.3-0.5),,,
comet_jap_en,fansub,official,335,-0.1655171175167631,-0.1959299062837415,0.030412788766978394,wilcoxon,0.0151672195091093,0.0151672195091093,0.3547066101631574,medium (0.3-0.5),,,
comet_jap_sp,ai,fansub,335,-0.0539098389446735,-0.1710379007814535,0.11712806183678001,wilcoxon,3.315769019050033e-07,4.97365352857505e-07,0.2867034673967901,small (0.1-0.3),,,
comet_jap_sp,ai,official,335,-0.0539098389446735,-0.2022780173416458,0.1483681783969723,wilcoxon,1.5146096988797683e-11,4.543829096639305e-11,0.3894781446664312,medium (0.3-0.5),,,
comet_jap_sp,fansub,official,335,-0.1710379007814535,-0.2022780173416458,0.031240116560192294,wilcoxon,0.2671874125045456,0.2671874125045456,0.0849115328835482,negligible (<0.1),,,
comet_jap_en_norm,ai,fansub,335,0.5892918162050113,0.55364706133876,0.035644754866251294,wilcoxon,0.0290186445246988,0.043527966787048206,0.1192826865643751,small (0.1-0.3),0.0165600947721273,0.0546343588526024,335.0
comet_jap_en_norm,ai,official,335,0.5892918162050113,0.5749848056503741,0.014307010554637123,wilcoxon,0.7191129655739518,0.7191129655739518,0.0196494588247021,negligible (<0.1),,,
comet_jap_en_norm,fansub,official,335,0.55364706133876,0.5749848056503741,-0.02133774431161417,wilcoxon,5.782211823332656e-10,1.7346635469997967e-09,0.338537384641263,medium (0.3-0.5),-0.0357248150475794,-0.0075153202697428,335.0
sbert_jap_en_norm,ai,fansub,335,0.6416254302934737,0.5906342972025841,0.05099113309088965,wilcoxon,0.0030707707353499,0.00460615610302485,0.1661888398402706,small (0.1-0.3),0.0279128272817697,0.0737621604257366,335.0
sbert_jap_en_norm,ai,official,335,0.6416254302934737,0.6446370162563501,-0.0030115859628763175,wilcoxon,0.0211742309631291,0.0211742309631291,0.1305241481176922,small (0.1-0.3),-0.0247090921139656,0.0185558185459096,335.0
sbert_jap_en_norm,fansub,official,335,0.5906342972025841,0.6446370162563501,-0.05400271905376597,wilcoxon,3.7201481253135287e-25,1.1160444375940587e-24,0.5687255590234318,large (>=0.5),-0.0697186023260373,-0.0369577261638277,335.0
qe_mix_en,ai,fansub,335,0.6102252618403963,0.5684419556842897,0.04178330615610659,wilcoxon,0.0184025046782286,0.027603757017342898,0.1287994307286901,small (0.1-0.3),,,
qe_mix_en,ai,official,335,0.6102252618403963,0.6028456898927644,0.0073795719476318355,wilcoxon,0.0810422151964221,0.0810422151964221,0.0953214342671678,negligible (<0.1),,,
qe_mix_en,fansub,official,335,0.5684419556842897,0.6028456898927644,-0.03440373420847476,wilcoxon,1.0133900220482228e-19,3.0401700661446687e-19,0.4965030183589702,medium (0.3-0.5),,,
comet_jap_sp_norm,ai,fansub,335,0.5792290653458751,0.611425918811948,-0.03219685346607282,wilcoxon,6.997224512023496e-05,6.997224512023496e-05,0.2172527939646533,small (0.1-0.3),-0.0509222585973514,-0.0140065540684887,335.0
comet_jap_sp_norm,ai,official,335,0.5792290653458751,0.5051335527998572,0.07409551254601798,wilcoxon,2.1217866414423424e-11,3.182679962163514e-11,0.3659172731916708,medium (0.3-0.5),0.0530668883837344,0.0929555057127255,335.0
comet_jap_sp_norm,fansub,official,335,0.611425918811948,0.5051335527998572,0.1062923660120908,wilcoxon,3.1186108540296115e-27,9.355832562088835e-27,0.5905617131091901,large (>=0.5),0.0888387261308562,0.1236032939463534,335.0
sbert_jap_sp_norm,ai,fansub,335,0.6818073274218681,0.6374857964282129,0.04432153099365521,wilcoxon,0.0165227184860072,0.024784077729010798,0.1355443076606803,small (0.1-0.3),0.020142815024312,0.069371867943055,335.0
sbert_jap_sp_norm,ai,official,335,0.6818073274218681,0.6280311566976366,0.053776170724231465,wilcoxon,0.0001071569109198,0.0003214707327594,0.2116474624503966,small (0.1-0.3),0.0297052424432665,0.0789280284958326,335.0
sbert_jap_sp_norm,fansub,official,335,0.6374857964282129,0.6280311566976366,0.009454639730576253,wilcoxon,0.3710002321435213,0.3710002321435213,0.0488772588633264,negligible (<0.1),,,
qe_mix_sp,ai,fansub,335,0.6202603701762723,0.621849869858454,-0.0015894996821816942,wilcoxon,0.0477333722697979,0.0477333722697979,0.1081644191102725,small (0.1-0.3),,,
qe_mix_sp,ai,official,335,0.6202603701762723,0.554292594358969,0.06596777581730329,wilcoxon,1.971778180817357e-11,2.957667271226035e-11,0.3665024451629394,medium (0.3-0.5),,,
qe_mix_sp,fansub,official,335,0.621849869858454,0.554292594358969,0.06755727549948498,wilcoxon,2.5370181438773137e-19,7.611054431631941e-19,0.491020880943928,medium (0.3-0.5),,,
